"freq
References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(1,2)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,1)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,2)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
62.00000000000000 GHz,-0.025134352041928 - j0.073012383325950 ,0.817964518048247 - j0.528965980577668 ,0.817964518048247 - j0.528965980577668 ,-0.025134352041938 - j0.073012383325943 
62.50000000000000 GHz,-0.025726578257087 - j0.073409190040302 ,0.815440169354521 - j0.532596763052598 ,0.815440169354521 - j0.532596763052598 ,-0.025726578257071 - j0.073409190040280 
63.00000000000000 GHz,-0.026322116485715 - j0.073800401449252 ,0.812900085444795 - j0.536214821323742 ,0.812900085444795 - j0.536214821323742 ,-0.026322116485729 - j0.073800401449272 
63.50000000000000 GHz,-0.026920911693753 - j0.074185985990648 ,0.810344338134081 - j0.539820092391938 ,0.810344338134080 - j0.539820092391938 ,-0.026920911693749 - j0.074185985990624 
64.00000000000000 GHz,-0.027522908572406 - j0.074565912582856 ,0.807772999425953 - j0.543412513883204 ,0.807772999425954 - j0.543412513883204 ,-0.027522908572434 - j0.074565912582890 
64.50000000000000 GHz,-0.028128051537949 - j0.074940150633099 ,0.805186141503166 - j0.546992024043507 ,0.805186141503165 - j0.546992024043507 ,-0.028128051537993 - j0.074940150633145 
65.00000000000000 GHz,-0.028736284735258 - j0.075308670042026 ,0.802583836714988 - j0.550558561730396 ,0.802583836714988 - j0.550558561730396 ,-0.028736284735242 - j0.075308670042028 
65.50000000000000 GHz,-0.029347552038485 - j0.075671441212052 ,0.799966157568288 - j0.554112066408335 ,0.799966157568287 - j0.554112066408335 ,-0.029347552038513 - j0.075671441212078 
66.00000000000000 GHz,-0.029961797053546 - j0.076028435052994 ,0.797333176718015 - j0.557652478141277 ,0.797333176718016 - j0.557652478141277 ,-0.029961797053494 - j0.076028435052921 
66.50000000000000 GHz,-0.030578963120653 - j0.076379622988907 ,0.794684966957561 - j0.561179737587186 ,0.794684966957561 - j0.561179737587186 ,-0.030578963120661 - j0.076379622988934 
67.00000000000000 GHz,-0.031198993317702 - j0.076724976964055 ,0.792021601209975 - j0.564693785990859 ,0.792021601209975 - j0.564693785990859 ,-0.031198993317641 - j0.076724976963989 
