Header: 
Footer: 
Point prm/cv           freq     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.
   87  87/ 0  2.200000E+010  1.217713E-002 -1.835205E-002  9.625716E-001 -1.876393E-001  9.628064E-001 -1.876039E-001  1.372093E-002 -1.948384E-002
   88  88/ 0  2.225000E+010  1.209152E-002 -1.888142E-002  9.620685E-001 -1.896571E-001  9.623078E-001 -1.896041E-001  1.364019E-002 -2.009698E-002
   89  89/ 0  2.250000E+010  1.195621E-002 -1.896246E-002  9.615357E-001 -1.918081E-001  9.618724E-001 -1.916266E-001  1.369963E-002 -1.987244E-002
   90  90/ 0  2.275000E+010  1.205509E-002 -1.925906E-002  9.610061E-001 -1.936970E-001  9.613787E-001 -1.935618E-001  1.350025E-002 -2.032328E-002
   91  91/ 0  2.300000E+010  1.200589E-002 -1.956944E-002  9.606428E-001 -1.956248E-001  9.609951E-001 -1.955288E-001  1.392531E-002 -2.028182E-002
   92  92/ 0  2.325000E+010  1.207267E-002 -2.041864E-002  9.601261E-001 -1.977623E-001  9.604134E-001 -1.975859E-001  1.321663E-002 -2.119099E-002
   93  93/ 0  2.350000E+010  1.153413E-002 -2.064216E-002  9.595216E-001 -1.996537E-001  9.598929E-001 -1.994561E-001  1.324048E-002 -2.050945E-002
   94  94/ 0  2.375000E+010  1.196626E-002 -2.098389E-002  9.590804E-001 -2.015685E-001  9.593369E-001 -2.013518E-001  1.329677E-002 -2.161179E-002
   95  95/ 0  2.400000E+010  1.151610E-002 -2.178318E-002  9.584788E-001 -2.034762E-001  9.588101E-001 -2.033465E-001  1.246451E-002 -2.200790E-002
   96  96/ 0  2.425000E+010  1.144055E-002 -2.117918E-002  9.578699E-001 -2.055036E-001  9.582154E-001 -2.054441E-001  1.262666E-002 -2.123874E-002
   97  97/ 0  2.450000E+010  1.133326E-002 -2.159944E-002  9.574605E-001 -2.074623E-001  9.577394E-001 -2.072630E-001  1.290982E-002 -2.233764E-002
   98  98/ 0  2.475000E+010  1.150137E-002 -2.144790E-002  9.569981E-001 -2.094565E-001  9.573060E-001 -2.094025E-001  1.273849E-002 -2.214033E-002
   99  99/ 0  2.500000E+010  1.086924E-002 -2.175763E-002  9.563956E-001 -2.114909E-001  9.567202E-001 -2.112734E-001  1.295569E-002 -2.234059E-002
  100 100/ 0  2.525000E+010  1.135362E-002 -2.156641E-002  9.558968E-001 -2.134084E-001  9.561988E-001 -2.132912E-001  1.330416E-002 -2.241447E-002
  101 101/ 0  2.550000E+010  1.094779E-002 -2.150136E-002  9.554421E-001 -2.151977E-001  9.557081E-001 -2.151864E-001  1.354771E-002 -2.282803E-002
  102 102/ 0  2.575000E+010  1.092683E-002 -2.217314E-002  9.547155E-001 -2.174151E-001  9.550304E-001 -2.173483E-001  1.293737E-002 -2.322060E-002
  103 103/ 0  2.600000E+010  1.064165E-002 -2.163083E-002  9.540804E-001 -2.192913E-001  9.544919E-001 -2.191699E-001  1.335019E-002 -2.293263E-002
  104 104/ 0  2.625000E+010  1.093244E-002 -2.233294E-002  9.536010E-001 -2.212513E-001  9.539613E-001 -2.210777E-001  1.305505E-002 -2.382937E-002
  105 105/ 0  2.650000E+010  1.081360E-002 -2.295599E-002  9.530100E-001 -2.233203E-001  9.533540E-001 -2.232201E-001  1.215726E-002 -2.357974E-002
